City,Population
Allegheny Center,933
Allegheny West,462
Allentown,2500
Arlington,1869
Arlington Heights,244
Banksville,4144
Bedford Dwellings,1202
Beechview,7974
Beltzhoover,1925
Bloomfield,8442
Bluff,6600
Bon Air,808
Brighton Heights,7247
Brookline,13214
California-Kirkbride,751
Carrick,10113
Central Business District,3629
Central Lawrenceville,4482
Central Northside + Central North Side:,2923
Central Oakland,6086
Chartiers City,447
Chateau,11
Crafton Heights,3814
Crawford-Roberts,2256
Duquesne Heights,2425
East Allegheny,2136
East Carnegie,570
East Hills,3169
East Liberty,5869
Elliott,2381
Esplen,301
Fairywood,1002
Fineview,1285
Friendship,1785
Garfield,3675
Glen Hazel,716
Golden Triangle/Civic Arena,5201
Greenfield,7294
Hays,362
Hazelwood,4317
Highland Park,6395
Homewood North,3280
Homewood South,2344
Homewood West,818
Knoxville,3747
Larimer,1728
Lincoln Place,3227
Lincoln-Lemington-Belmar,4883
Lower Lawrenceville,2341
Manchester,2130
Marshall-Shadeland,6043
Middle Hill,1707
Morningside,3346
Mount Oliver + Mt. Oliver Neighborhood:,509
Mount Washington,8799
New Homestead,990
North Oakland,10551
North Shore,303
Northview Heights,1214
Oakwood,1027
Overbrook,3644
Perry North,4050
Perry South,4145
Point Breeze,5315
Point Breeze North,2054
Polish Hill,1274
Regent Square,928
Ridgemont,483
Shadyside,13915
Sheraden,5299
South Oakland,2969
South Shore,19
South Side Flats,5726
South Side Slopes,4423
Spring Garden,884
Spring Hill-City View,2648
Squirrel Hill North,11363
Squirrel Hill South,15110
St. Clair,209
Stanton Heights,4601
Strip District,616
Summer Hill,1051
Swisshelm Park,1361
Terrace Village,3228
Troy Hill + Troy Hill-Herrs Island:,2714
Upper Hill,2057
Upper Lawrenceville,2669
West End,254
West Oakland,2604
Westwood,3066
Windgap,1369